"StudentID","DailyAvgScreenTime","DailyAvgSocialMediaTime","DailyAvgVideoTime","DailyAvgGameTime","DailyAvgBedtimePhoneTime","DailyAvgUnlockCount","DailyAvgSleepDuration","ImpactOnAcademic","ImpactOnSleep","AnxietyWithoutPhone"
S001,5.5,6.3,2.2,0.5,91.0,115,5.8,3,2,4
S002,13.2,4.8,2.8,3.3,79.0,134,7.4,4,2,3
S003,9.2,4.2,2.0,1.4,72.0,127,6.8,4,2,4
S004,14.1,7.6,2.4,0.4,120.0,119,5.4,4,4,4
S005,11.9,5.7,1.8,2.2,72.0,128,7.1,3,2,4
S006,11.2,5.4,2.9,1.8,87.0,114,6.7,4,2,4
S007,13.1,6.9,2.9,2.2,77.0,136,6.9,4,2,4
S008,8.2,4.6,1.8,0.5,74.0,99,5.6,3,3,3
S009,10.1,4.9,2.1,1.0,79.0,121,7.2,4,3,4
S010,11.3,6.4,3.4,1.1,85.0,130,6.0,3,2,4
S011,12.5,6.4,4.2,1.1,102.0,133,6.3,3,3,5
S012,11.0,3.7,3.6,0.7,84.0,104,6.6,2,3,3
S013,10.5,4.4,3.7,1.1,58.0,110,7.0,4,2,4
S014,8.6,3.9,2.8,0.8,50.0,83,6.9,2,1,3
S015,11.4,4.9,2.2,2.5,115.0,133,6.1,3,2,4
S016,14.8,5.6,3.8,2.0,115.0,163,5.9,3,3,4
S017,9.8,5.7,0.8,1.7,82.0,104,7.8,4,2,4
S018,9.8,3.9,2.7,1.6,69.0,94,6.8,3,2,4
S019,10.8,5.6,2.9,1.7,57.0,138,7.1,4,2,4
S020,12.1,4.7,2.8,2.2,84.0,144,6.3,4,3,4
S021,10.5,5.4,3.3,0.7,74.0,98,7.0,4,2,4
S022,12.9,6.0,3.5,1.3,65.0,120,6.2,3,3,4
S023,11.8,5.4,3.1,0.4,69.0,107,6.3,3,2,3
S024,12.2,5.3,4.4,0.0,72.0,122,7.1,3,3,4
